time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-05-19 18:00:00,66767.61,66538.62,66728.66,282.59,18832589.47,66584.62,direct,
2024-05-19 19:00:00,66638.9,65878.18,66584.62,1096.54,72636661.59,66042.26,direct,
2024-05-19 20:00:00,66296.56,66012.84,66042.26,357.06,23640307.99,66158.68,direct,
2024-05-19 21:00:00,66347.11,66008.18,66158.68,268.56,17769929.83,66279.65,direct,
2024-05-19 22:00:00,66449.06,66254.19,66279.65,407.52,27038264.12,66355.06,direct,
2024-05-19 23:00:00,66355.08,66213.41,66355.06,243.5,16136094.78,66268.25,direct,
2024-05-20 00:00:00,66479.86,66155.58,66268.25,480.28,31831321.86,66451.21,direct,
2024-05-20 01:00:00,66566.56,66071.74,66451.21,688.73,45692504.48,66524.79,direct,
2024-05-20 02:00:00,66757.21,66504.44,66524.79,671.7,44762625.12,66665.69,direct,
2024-05-20 03:00:00,66753.21,66568.71,66665.69,360.84,24053151.03,66675.69,direct,
2024-05-20 04:00:00,67141.74,66628.93,66675.69,565.49,37840148.38,67133.98,direct,
2024-05-20 05:00:00,67291.72,67060.63,67133.98,563.65,37857750.26,67140.32,direct,
2024-05-20 06:00:00,67159.78,66309.36,67140.32,896.57,59914217.59,66420.07,direct,
2024-05-20 07:00:00,66900.56,66369.93,66420.07,669.31,44627908.06,66829.06,direct,
2024-05-20 08:00:00,67057.33,66751.61,66829.06,441.84,29560729.74,66767.48,direct,
2024-05-20 09:00:00,66994.15,66759.58,66767.48,467.47,31282967.93,66907.12,direct,
2024-05-20 10:00:00,67344.84,66876.95,66907.12,1137.99,76370344.51,67118.29,direct,
2024-05-20 11:00:00,67306.52,66921.45,67118.29,615.41,41330214.95,67002.98,direct,
2024-05-20 12:00:00,67089.78,66798.17,67002.98,605.67,40545244.58,66937.73,direct,
2024-05-20 13:00:00,67189.82,66786.29,66937.73,1144.92,76738451.38,67106.67,direct,
2024-05-20 14:00:00,67120.82,66765.02,67106.67,915.41,61243726.6,66994.98,direct,
2024-05-20 15:00:00,67504.58,66896.04,66994.98,1587.34,106783635.92,67428.45,direct,
2024-05-20 16:00:00,68276.83,67402.82,67428.45,3910.67,265533093.85,68232.85,direct,
2024-05-20 17:00:00,68667.45,68070.9,68232.85,2362.06,161417170.14,68364.85,direct,
2024-05-20 18:00:00,68798.92,68344.44,68364.85,1997.96,136967420.34,68779.27,direct,
2024-05-20 19:00:00,70111.86,68647.85,68779.27,6340.83,441014301.96,70058.74,direct,
2024-05-20 20:00:00,70439.27,69222.55,70058.74,4081.24,284828554.78,69527.6,direct,
2024-05-20 21:00:00,69786.88,68937.93,69527.6,2292.91,158845953.32,69745.68,direct,
2024-05-20 22:00:00,69976.31,69569.4,69745.68,1408.12,98145811.52,69615.46,direct,
2024-05-20 23:00:00,71546.4,69610.06,69615.46,4054.08,287522564.01,71430.23,direct,
2024-05-21 00:00:00,71964.79,71117.81,71430.23,2926.96,208992743.11,71286.11,direct,
2024-05-21 01:00:00,71286.61,70708.15,71286.11,1822.9,129484471.98,71082.39,direct,
2024-05-21 02:00:00,71388.16,70892.12,71082.39,1153.67,82044286.83,71269.08,direct,
2024-05-21 03:00:00,71397.46,71125.32,71269.08,734.15,52329605.15,71287.28,direct,
2024-05-21 04:00:00,71289.09,70820.48,71287.28,937.49,66584092.37,70894.57,direct,
2024-05-21 05:00:00,71206.69,70826.4,70894.57,950.1,67444464.94,71184.41,direct,
2024-05-21 06:00:00,71387.31,71094.41,71184.41,751.1,53508441.07,71192.84,direct,
2024-05-21 07:00:00,71214.82,70864.48,71192.84,910.01,64636550.35,70866.71,direct,
2024-05-21 08:00:00,71041.37,70840.4,70866.71,811.22,57548554.27,70900.41,direct,
2024-05-21 09:00:00,71052.74,70869.56,70900.41,501.65,35606950.92,70975.29,direct,
2024-05-21 10:00:00,71274.3,70948.16,70975.29,809.65,57559702.59,71036.6,direct,
2024-05-21 11:00:00,71436.39,70965.35,71036.6,1041.65,74170023.54,71113.89,direct,
2024-05-21 12:00:00,71434.85,71043.48,71113.89,1151.87,82085003.87,71335.43,direct,
2024-05-21 13:00:00,71337.35,70535.08,71335.43,1906.84,135291977.13,70582.78,direct,
2024-05-21 14:00:00,70921.0,70182.08,70582.78,2134.2,150576156.07,70194.91,direct,
2024-05-21 15:00:00,70474.24,69659.23,70194.91,1952.12,136856574.51,69788.72,direct,
2024-05-21 16:00:00,70234.3,69636.46,69788.72,1613.24,112781627.76,69638.74,direct,
2024-05-21 17:00:00,69914.9,69530.26,69638.74,1203.87,83929954.84,69833.19,direct,
2024-05-21 18:00:00,69919.09,69499.99,69833.19,960.67,66956664.44,69805.35,direct,
2024-05-21 19:00:00,69944.43,69158.99,69805.35,3305.75,229902064.48,69284.2,direct,
2024-05-21 20:00:00,69762.68,69237.91,69284.2,796.1,55401711.32,69716.21,direct,
2024-05-21 21:00:00,69787.7,69454.64,69716.21,384.91,26795108.45,69730.38,direct,
2024-05-21 22:00:00,70208.69,69727.46,69730.38,1016.45,71131072.01,70207.55,direct,
2024-05-21 23:00:00,70375.47,70099.75,70207.55,971.03,68185807.98,70141.17,direct,
2024-05-22 00:00:00,70265.64,70043.57,70141.17,718.94,50430530.86,70112.09,direct,
2024-05-22 01:00:00,70203.51,70013.09,70112.09,533.55,37405334.35,70152.73,direct,
2024-05-22 02:00:00,70357.53,69921.13,70152.73,660.7,46339100.97,70005.54,direct,
2024-05-22 03:00:00,70046.47,69813.91,70005.54,465.92,32578432.4,69941.53,direct,
2024-05-22 04:00:00,69991.64,69213.03,69941.53,854.64,59437208.86,69598.65,direct,
2024-05-22 05:00:00,69917.57,69520.41,69598.65,610.82,42600888.05,69899.57,direct,
2024-05-22 06:00:00,70049.79,69791.37,69899.57,326.21,22803432.65,69852.72,direct,
2024-05-22 07:00:00,69886.54,69577.57,69852.72,573.53,39983470.75,69708.52,direct,
2024-05-22 08:00:00,70191.68,69639.25,69708.52,469.07,32814397.72,70005.49,direct,
2024-05-22 09:00:00,70070.66,69834.66,70005.49,353.14,24700878.35,69983.8,direct,
2024-05-22 10:00:00,70227.29,69932.47,69983.8,650.25,45592328.26,70188.95,direct,
2024-05-22 11:00:00,70268.42,69741.14,70188.95,961.22,67320980.27,69741.14,direct,
2024-05-22 12:00:00,70076.8,69515.43,69741.14,840.97,58705001.32,69640.98,direct,
2024-05-22 13:00:00,69892.02,69431.82,69640.98,1207.69,84127062.1,69563.66,direct,
2024-05-22 14:00:00,70162.51,69429.4,69563.66,1798.24,125536255.5,70099.31,direct,
2024-05-22 15:00:00,70564.6,69916.63,70099.31,1854.89,130372405.53,70435.78,direct,
